"PROD_ID","BRAND","DESCRIPTION","PRICE"
99369,"Insignia¿ ","Insignia¿ - 40"" Class - LCD - 1080p - 60Hz - HDTV",
99370,"Samsung ","Samsung - 40"" Class - LED - 1080p - 120Hz - Smart - HDTV",
99371,"Samsung ","Samsung - 40"" Class - LED - 1080p - 120Hz - HDTV",
99372,"Westinghouse ","Westinghouse - 40"" Class - LCD - 1080p - 60Hz - HDTV",
99373,"Samsung ","Samsung - 40"" Class - LCD - 1080p - 120Hz - HDTV",
99374,"Dynex¿ ","Dynex¿ - 40"" Class - LCD - 1080p - 60Hz - HDTV",
99375,"Samsung ","Samsung - 40"" Class - LCD - 1080p - 60Hz - HDTV",
99376,"Samsung ","Samsung - 40"" Class - LED - 1080p - 120Hz - Smart - 3D -HDTV",
99377,"Samsung ","Samsung - 40"" Class - LED - 1080p - 120Hz - Smart - 3D - HDTV",
99378,"Samsung ","Samsung - 40"" Class - LCD - 1080p - 60Hz - HDTV",
99379,"Toshiba ","Toshiba - 40"" Class - LCD - 1080p - 60Hz - HDTV",
99380,"Philips ","Philips - 40"" Class - LCD - 1080p - 60Hz - HDTV",
99381,"Dynex¿ ","Dynex¿ - 40"" Class - LCD - 1080p - 60Hz - HDTV",
99382,"Samsung ","Samsung - 40"" Class - LED - 1080p - 120Hz - Smart - HDTV",
99383,"Sony ","Sony - BRAVIA - 40"" Class - LCD - 1080p - 60Hz - HDTV",
99384,"Toshiba ","Toshiba - 40"" Class - LED - 1080p - 60Hz - HDTV",
99385,"Toshiba ","Toshiba - 40"" Class - LCD - 1080p - 60Hz - HDTV",
99386,"Synnex ","Synnex - SyncMaster 400CXN-2 40"" 1080p LCD TV - 16:9 - HDTV 1080p - Glossy Black",
99387,"Samsung ","Samsung - 40"" Class / LED / 1080p / 120Hz / 3D / HDTV",
99388,"Coby ","Coby - 40"" Class - LCD - 1080p - 60Hz - HDTV",
99389,"Westinghouse ","Westinghouse - 40"" Class - LED - 1080p - 120Hz - HDTV",
99390,"Sony ","Sony - BRAVIA KDL-40EX400/H 40"" 1080p LCD TV - HDTV 1080p",
99391,"Orion America","Orion America-Televisions - HDLCD4050 40"" 1080p LCD TV - 16:9 - HDTV 1080p - Black",
99392,"Coby ","Coby - TFTV4028 40"" LCD TV - 16:9 - HDTV 1080p - 1080p",
99393,"Haier ","Haier - LE40C13800 40"" 1080p LED-LCD TV - 16:9 - Glossy Black",
99394,"Phillips ","Phillips - 40"" Class - LED - 1080p - 120Hz - Smart - HDTV",
99395,"Panasonic ","Panasonic - 42"" Class - Plasma - 1080p - 600Hz - Smart - 3D - HDTV",1099.99
99396,"Insignia¿ ","Insignia¿ - 42"" Class / LED / 1080p / 120Hz / HDTV",499.99
99397,"Insignia¿ ","Insignia¿ - 42"" Class / 1080p / 120Hz / LCD HDTV",549.99
99398,"LG ","LG - 42"" Class - Plasma - 720p - 600Hz - HDTV",549.99
99399,"Westinghouse ","Westinghouse - 42"" Class - LED - 1080p - 120Hz - HDTV",599.99
99400,"Panasonic ","Panasonic - 42"" Class - Plasma - 720p - 600Hz - Smart - HDTV",599.99
99401,"LG ","LG - 42"" Class - LCD - 1080p - 120Hz - HDTV",649.99
99402,"Insignia¿ ","Insignia¿ - Connected TV - 42"" Class - LED - 1080p - 120Hz - Smart - HDTV",699.99
99403,"LG ","LG - 42"" Class - LCD - 1080p - 120Hz - HDTV",799.99
99404,"Panasonic ","Panasonic - VIERA - 42"" Class - LED - 1080p - 120Hz - Smart - HDTV",849.99
99405,"Panasonic ","Panasonic - 42"" Class / LED / 1080p / 120Hz / 3D / HDTV",999.99
99406,"Insignia¿ ","Insignia¿ - 42"" Class - Plasma - 720p - 600Hz - HDTV",
99407,"RCA ","RCA - 42"" Class - Plasma - 720p - 600Hz - HDTV",
99408,"LG ","LG - 42"" Class - LCD - 1080p - 60Hz - HDTV",
99409,"Dynex¿ ","Dynex¿ - 42"" Class - LED - 1080p - 60Hz - HDTV",
99410,"LG ","LG - 42"" Class - LCD - 1080p - 60Hz - HDTV",
99411,"LG ","LG - 42"" Class - LED - 1080p - 120Hz - Smart - 3D - HDTV",
99412,"Insignia¿ ","Insignia¿ - 42"" Class - LED - 1080p - 60Hz - HDTV",
99413,"LG ","LG - 42"" Class - LED - 1080p - 120Hz - 3D - HDTV",
99414,"Panasonic ","Panasonic - 42"" Class - LED - 1080p - 60Hz - Smart - HDTV",
99415,"Sharp ","Sharp - 42"" Class - LCD - 1080p - 60Hz - HDTV",
99416,"LG ","LG - 42"" Class - LED - 1080p - 120Hz - Smart - HDTV",
99417,"LG ","LG - 42LD6DDH 42"" 1080p LCD TV - 16:9 - HDTV 1080p - Matte Black",
99418,"SCEPTRE ","SCEPTRE - E420BV-F120 42"" 1080p LED-LCD TV - 16:9 - HDTV 1080p - Glossy Black",
99419,"LG ","LG - 42PT350C 42"" 720p Plasma TV - 16:9 - HDTV - 600 Hz - Glossy Black",
99559,"Samsung ","Samsung - 60"" Class - LED - 1080p - 120Hz - HDTV",
99560,"Samsung ","Samsung - 60"" Class / LED / 1080p / 240Hz / Smart / 3D / HDTV",
99561,"Sony ","Sony - 60"" Class - LED - 1080p - 120Hz - Smart - 3D - HDTV",
99562,"Samsung ","Samsung - 60"" Class / Plasma / 1080p / 600Hz / Smart / 3D / HDTV",
99563,"Samsung ","Samsung - 60"" Class / LED / 1080p / 120Hz / Smart / 3D / HDTV",
99564,"Samsung ","Samsung - 60"" Class - Plasma - 1080p - 600Hz - Smart - 3D HDTV",
99565,"Samsung ","Samsung - 60"" Class / Plasma / 1080p Vertical / 600Hz / 3D / HDTV",
99566,"Sony ","Sony - BRAVIA - 60"" Class - LED - 1080p - 120Hz - Smart - 3D - HDTV",
99567,"LG ","LG - 60"" Class - Plasma - 1080p - 600Hz - Smart - 3D - HDTV",
99568,"Samsung ","Samsung - UN60D6400 60"" 3D 1080p LED-LCD TV - 16:9 - 120 Hz - Black, Silver",
99569,"Mitsubishi ","Mitsubishi - WD-60738 60"" DLP 1080p Projection TV - 16:9 - HDTV 1080p - Platinum Black",
99570,"Samsung ","Samsung - Refurbished 63"" Class - Plasma - 1080p - 600Hz - Smart - 3D - HDTV",1999.99
99571,"Samsung ","Samsung - 64"" Class - Plasma - 1080p - 600Hz - Smart - 3D - HDTV",
99572,"Samsung ","Samsung - 64"" Class / Plasma / 1080p / 600Hz / Smart / 3D / HDTV",
99573,"Samsung ","Samsung - 64"" Class - Plasma - 1080p - 600Hz - Smart - 3D HDTV",
99574,"Mitsubishi ","Mitsubishi - Home Cinema - 65"" Class - DLP - 1080p - 60Hz - HDTV",1199.99
99575,"Sony ","Sony - BRAVIA - LED - 65"" Class - 1080p - 240Hz - Smart - 3D - HDTV",4099.98
99576,"Sony ","Sony - BRAVIA - LED - 65"" Class - 1080p - 240Hz - Smart - 3D - HDTV",5499.98
99577,"Panasonic ","Panasonic - VIERA 65"" Class - Plasma - 1080p - 600Hz - Smart - 3D - HDTV",
99578,"Samsung ","Samsung - 65"" Class - LED - 1080p - 240Hz - Smart - 3D - HDTV",
99579,"AZEND GROUP CORP ","AZEND GROUP CORP - HR-701 7"" LCD TV",
99580,"Sharp ","Sharp - AQUOS - 70"" Class - LED - 1080p - 120Hz - Smart - HDTV",2499.99
99581,"Sharp ","Sharp - AQUOS - 70"" Class - LED - 1080p - 240Hz - Smart - 3D - HDTV",3199.99
99582,"Elite ","Elite - 70"" Class - LED - 1080p - 240Hz - Smart - 3D - HDTV",7999.98
99583,"Sharp ","Sharp - AQUOS 70"" Class - LED - 1080p - 120Hz - Smart - HDTV",
99584,"Sharp ","Sharp - AQUOS LC-70LE632U 70"" 1080p LED-LCD TV - 16:9 - HDTV 1080p - 120 Hz - Piano Black",
99585,"Sharp ","Sharp - AQUOS - 70"" Class - LED - 1080p - 120Hz - Smart - 3D - HDTV",
99586,"Mitsubishi ","Mitsubishi - Home Cinema - 73"" Class - DLP Projection - 1080p - 120Hz - Smart - 3D - HDTV",
99587,"Mitsubishi ","Mitsubishi - Home Cinema - 73"" Class - DLP Projection - 1080p - 120Hz - 3D - HDTV",
99588,"Venturer ","Venturer - 8"" Class - LCD - 480i - 60Hz - Under-Cabinet TV DVD Combo",182.99
99589,"Sharp ","Sharp - AQUOS - 80"" Class - LED - 1080p - 120Hz - Smart - HDTV",4499.99
99590,"Sharp ","Sharp - AQUOS - 80"" Class - LED - 1080p - 240Hz - Smart - 3D - HDTV",
99591,"Mitsubishi ","Mitsubishi - Home Cinema - 82"" Class - DLP Projection - 1080p - 120Hz - Smart - 3D - HDTV",
99592,"Mitsubishi ","Mitsubishi - Diamond Home Cinema 92"" Class / DLP Projection / 1080p / 120Hz / 3D / HDTV",3999.99
99593,"Coby ","Coby - 19"" Widescreen LCD Multifunction HDTV Monitor",149.99
99594,"Venturer ","Venturer - Under-the-Cabinet DVD Player with 10"" TFT-LCD Display - Silver",369.96
99595,"Supersonic ","Supersonic - SC-1312 13.3"" TV/DVD Combo - HDTV - 16:9 - 1366 x 768 - 720p",
99596,"Roadview ","Roadview - RHF-9.0 9"" Active Matrix TFT LCD Car Display - Black",
99462,"Samsung ","Samsung - UN46D7900 46"" 3D 1080p LED-LCD TV - 16:9 - HDTV 1080p - 240 Hz - Silver",
99463,"Orion ","Orion - SLED4680 46"" 1080p LED-LCD TV - 16:9 - HDTV 1080p - 120 Hz - Black",
99464,"Toshiba ","Toshiba - REGZA 46VX700U 46"" 1080p LED-LCD TV - 16:9 - HDTV 1080p - 120 Hz - Black",
99465,"Philips ","Philips - 46"" Class - LCD - 1080p - 60Hz - HDTV",
99466,"Synnex ","Synnex - UN46D6400 46"" 3D 1080p LED-LCD TV - 16:9 - HDTV 1080p - 120 Hz - Black",
99467,"LG ","LG - 47"" Class - LCD - 1080p - 60Hz - HDTV",699.99
99468,"LG ","LG - 47"" Class / LCD / 1080p / 120Hz / HDTV",899.99
99469,"Panasonic ","Panasonic - VIERA - 47"" Class - LED - 1080p - 120Hz - Smart - HDTV",999.99
99470,"LG ","LG - 47"" Class - LED - 1080p - 120Hz - Smart - 3D - HDTV",
99471,"LG ","LG - 47"" Class - LED - 1080p - 120Hz - Smart - 3D - HDTV",
99472,"LG ","LG - 47"" Class - LED - 1080p - 120Hz - HDTV",
99473,"LG ","LG - 47"" Class - LED - 1080p - 120Hz - 3D - HDTV",
99474,"LG ","LG - 47"" Class - LED - 1080p - 240Hz - Smart - 3D - HDTV",
99475,"LG ","LG - 47"" Class - LED - 1080p - 120Hz - Smart - HDTV",
99476,"LG ","LG - 47LE5500 47"" 1080p LED-LCD TV - 16:9 - HDTV 1080p - 120 Hz - Glossy Black",
99477,"LG ","LG - 47LX6500 47"" 3D 1080p LED-LCD TV - 16:9 - HDTV 1080p - 240 Hz - Black",
99478,"Zenith ","Zenith - 50"" Class - Plasma - 720p - 600Hz - HDTV",549.99
99479,"Samsung ","Samsung - Refurbished 50"" Class - Plasma - 720p - 600Hz - HDTV",549.99
99480,"Samsung ","Samsung - 50"" Class - Plasma - 1080p - 600Hz - HDTV",649.99
99481,"Panasonic ","Panasonic - 50"" Class - Plasma - 720p - 600Hz - HDTV",679.99
99482,"Samsung ","Samsung - Refurbished 50"" Class - Plasma - 1080p - 600Hz - HDTV",699.99
99483,"Panasonic ","Panasonic - 50"" Class / Plasma / 1080p / 600Hz / HDTV",799.99
99484,"Samsung ","Samsung - Refurbished 50"" Class - Plasma - 1080p - 600Hz - Smart - HDTV",799.99
99485,"Samsung ","Samsung - Refurbished 50"" Class - Plasma - 1080p - 600Hz - Smart - HDTV",799.99
99486,"Samsung ","Samsung - Refurbished 50"" Class - Plasma - 1080p - 600Hz - Smart - 3D - HDTV",899.99
99487,"Panasonic ","Panasonic - VIERA - 50"" Class - Plasma - 1080p - 600Hz - Smart - 3D - HDTV",999.99
99488,"Toshiba ","Toshiba - 50"" Class / LED / 1080p / 120Hz / HDTV",999.99
99489,"LG ","LG - 50"" Class - Plasma - 720p - 600Hz - HDTV",
99490,"Insignia¿ ","Insignia¿ - 50"" Class - Plasma - 720p - 600Hz - HDTV",
99491,"Panasonic ","Panasonic - VIERA / 50"" Class / Plasma / 1080p / 600Hz / Smart / 3D / HDTV",
99492,"LG ","LG - 50"" Class - Plasma - 1080p - 600Hz - Smart - 3D - HDTV",
99493,"LG ","LG - 50"" Class - Plasma - 1080p - 600Hz - HDTV",
99494,"RCA ","RCA - 50"" Class - Plasma - 720p - 600Hz - HDTV",
99495,"Samsung ","Samsung - 51"" Class - Plasma - 1080p - 600Hz - Smart - 3D HDTV",1499.98
99496,"Samsung ","Samsung - 51"" Class - Plasma - 720p - 600Hz - HDTV",
99497,"Samsung ","Samsung - 51"" Class / Plasma / 1080p / 600Hz / HDTV",
99498,"Samsung ","Samsung - 51"" Class - Plasma - 1080p - 600Hz - Smart - 3D - HDTV",
99499,"Samsung ","Samsung - 51"" Class - Plasma - 720p - 600Hz - 3D - HDTV",
99500,"Samsung ","Samsung - 51"" Class / Plasma / 1080p / 600Hz / Smart / 3D / HDTV",
99501,"Samsung ","Samsung - 51"" Class - Plasma - 1080p - 600Hz - Smart - 3D - HDTV",
99502,"Samsung ","Samsung - 51"" Class - Plasma - 720p - 60Hz - 3D - HDTV",
99503,"Sharp ","Sharp - AQUOS - 52"" Class - LED - 1080p - 120Hz - Smart - HDTV",1199.99
99504,"Samsung ","Samsung - 52"" Class - LCD - 1080p - 60Hz - HDTV",
99505,"Samsung ","Samsung - Refurbished 55"" Class - LED - 1080p - 60Hz - HDTV",1149.99
99506,"Samsung ","Samsung - Refurbished 55"" Class - LED - 1080p - 120Hz - HDTV",1179.99
99507,"Samsung ","Samsung - 55"" Class - LED - 1080p - 120Hz - HDTV",1399.99
99508,"Samsung ","Samsung - Refurbished 55"" Class - LED - 1080p - 240Hz - Smart - HDTV",1399.99
99509,"LG ","LG - 55"" Class - LED - 1080p - 120Hz - HDTV",1499.99
99510,"Panasonic ","Panasonic - VIERA 55"" Class - Plasma - 1080p - 600Hz - Smart - 3D - HDTV",1549.99
99511,"Sony ","Sony - 55"" Class - LED - 1080p - 120Hz - Smart - HDTV",1799.99
99512,"Panasonic ","Panasonic - 55"" Class / LED / 1080p / 120Hz / 3D / HDTV",1799.99
99513,"Sony ","Sony - 55"" Class - LED - 1080p - 240Hz - Smart - 3D - HDTV",2099.99
99514,"Sony ","Sony - 55"" Class / LED / 1080p / 240Hz / Smart / 3D / HDTV",2599.99
99515,"Sony ","Sony - BRAVIA - 55"" Class - LED - 1080p - 240Hz - Smart - 3D - HDTV",3499.98
99516,"SunBriteTV ","SunBriteTV - 55"" Class - LED - 1080p - 120Hz - Outdoor HDTV",6999.99
99517,"Ciil ","Ciil - UltraView 55"" Class / LCD / 1080p / 120Hz / HDTV",7499.99
99518,"Westinghouse ","Westinghouse - 55"" Class - LCD - 1080p - 120Hz - HDTV",799.99
99519,"Samsung ","Samsung - Refurbished 55"" Class - LCD - 1080p - 120Hz - HDTV",899.99
99520,"Samsung ","Samsung - Refurbished 55"" Class - LCD - 1080p - 120Hz - HDTV",999.99
99521,"Dynex¿ ","Dynex¿ - 55"" Class - LCD - 1080p - 120Hz - HDTV",
99522,"Samsung ","Samsung - 55"" Class - LED - 1080p - 120Hz - Smart - 3D - HDTV",
99523,"Samsung ","Samsung - 55"" Class - LED - 1080p - 240Hz - Smart - 3D - HDTV",
99524,"Samsung ","Samsung - 55"" Class - LED - 1080p - 120Hz - Smart - HDTV",
99525,"LG ","LG - 55"" Class - LED - 1080p - 120Hz - Smart - 3D - HDTV",
99526,"Samsung ","Samsung - 55"" Class - LED - 1080p - 240Hz - Smart - 3D - HDTV",
99527,"Insignia¿ ","Insignia¿ - 55"" Class - LED - 1080p - 120Hz - HDTV",
99528,"Samsung ","Samsung - 55"" Class - LED - 1080p - 240Hz - Smart - 3D - HDTV",
99529,"Samsung ","Samsung - 55"" Class - LED - 1080p - 120Hz - Smart - HDTV",
99530,"Samsung ","Samsung - 55"" Class - LED - 1080p - 120Hz - Smart - 3D - HDTV",
99531,"Samsung ","Samsung - 55"" Class / LED / 1080p / 240Hz / Smart / 3D / HDTV",
99532,"LG ","LG - 55"" Class - LED - 1080p - 240Hz - Smart - 3D - HDTV",
99533,"LG ","LG - 55"" Class - LED - 1080p - 120Hz - 3D - HDTV",
99534,"Panasonic ","Panasonic - VIERA / 55"" Class / Plasma / 1080p / 600Hz / Smart / 3D / HDTV",
99535,"Insignia¿ ","Insignia¿ - 55"" Class - LED - 1080p - 120Hz - HDTV",
99536,"LG ","LG - 55"" Class - LED - 1080p - 120Hz - Smart - 3D - HDTV",
99537,"Westinghouse ","Westinghouse - 55"" Class - LED - 1080p - 120Hz - HDTV",
99538,"Coby ","Coby - LEDTV5536 55"" 1080p LED-LCD TV - 16:9 - HDTV 1080p - 120 Hz",
99539,"LG ","LG - 55LE5500 55"" 1080p LED-LCD TV - 16:9 - HDTV 1080p - 120 Hz - Glossy Black",
99540,"Nexus ","Nexus - 55"" Class / LED / 1080p / 120Hz / HDTV - Black",
99541,"LG ","LG - 55LH85 55"" 1080p LCD TV - 16:9 - HD Ready 1080p",
99542,"Toshiba ","Toshiba - Cinema 55VX700 55"" 1080p LED-LCD TV - 16:9 - HDTV 1080p - 120 Hz - Black",
99543,"Samsung ","Samsung - UN55D6400 55"" 3D 1080p LED-LCD TV - 16:9 - HDTV 1080p - 120 Hz - Black",
99544,"Toshiba ","Toshiba - 55"" Class - LED - 1080p - 120Hz - Smart - HDTV",
99545,"Samsung ","Samsung - Refurbished 58"" Class - Plasma - 1080p - 600Hz - Smart - 3D - HDTV",1299.99
99546,"Samsung ","Samsung - Refurbished 58"" Class - Plasma - 1080p - 600Hz - Smart - 3D - HDTV",1399.99
99547,"Samsung ","Samsung - Refurbished 58"" Class - Plasma - 1080p - 600Hz - HDTV",999.99
99548,"Sharp ","Sharp - AQUOS - 60"" Class - LCD - 1080p - 120Hz - HDTV",1099.99
99549,"Sharp ","Sharp - AQUOS - 60"" Class - LED - 1080p - 120Hz - Smart - HDTV",1499.99
99550,"Sharp ","Sharp - AQUOS - 60"" Class - LED - 1080p - 120Hz - Smart - 3D - HDTV",1799.99
99221,"JVC ","JVC - LT-19D610 19"" TV/DVD Combo - HDTV - 16:9 - 1366 x 768 - 720p",179.99
99222,"Pyle ","Pyle - PTC20LD 19"" TV/DVD Combo - 16:10 - 1440 x 900 - 720p",169.99
99223,"Orion ","Orion - Accu SLEDVD196 19"" TV/DVD Combo - HDTV - 16:9 - 1366 x 768 - 720p - Black",169.99
99224,"Magnavox ","Magnavox - 19MD301B 19"" TV/DVD Combo - HDTV - 16:9 - 1366 x 768 - 720p - Black",174.99
99225,"LG ","LG - 19LE5300 19"" 1080p LED-LCD TV - 16:9 - 120 Hz - Glossy Black",179.99
99226,"D&H Distributing ","D&H Distributing - TFDVD1995 19"" TV/DVD Combo - 16:9 - 1366 x 768 - 720p",179.99
99227,"Vizio ","Vizio - Refurbished 22"" Class - LED - 1080p - 60Hz - HDTV",159.99
99228,"Westinghouse ","Westinghouse - 22"" Class - lCD - 720p - 60Hz - HDTV",199.99
99229,"Coby ","Coby - 22"" Class - LED - 1080p - 60Hz - HDTV",199.99
99230,"Philips ","Philips - 4000 Series - 22"" Class - LED - 720p - 60Hz - HDTV",209.99
99231,"Samsung ","Samsung - 22"" Class - LED - 1080p - 60Hz - HDTV",249.99
99232,"Philips ","Philips - 4000 Series - 22"" Class - LED - 720p - 60Hz - Smart - HDTV",249.99
99233,"LG ","LG - 22"" Class - LED - 720p - 60Hz - HDTV",299.99
99234,"Westinghouse ","Westinghouse - 22"" Class - LED - 1080p - 60Hz - HDTV",209.99
99235,"Haier ","Haier - L22B1120 22"" 720p LCD TV - 16:9 - HDTV - Black",249.99
99236,"Orion ","Orion - Accu SLED2282 22"" 1080p LED-LCD TV - 16:9 - HDTV 1080p - White",249.99
99237,"Sansui ","Sansui - HDLCD-2212 22"" 720p LCD TV - 16:9 - HDTV 1080p - Black",249.99
99238,"Orion ","Orion - Signature SLED2280 22"" 1080p LED-LCD TV - 16:9 - HDTV 1080p - Black",249.99
99239,"Orion ","Orion - Accu SLEDVD226 22"" TV/DVD Combo - HDTV 1080p - 16:9 - 1920 x 1080 - 1080p - Black",249.99
99240,"LG ","LG - M2280D 22"" 1080p LED-LCD TV - 16:9 - HDTV 1080p - Glossy Black",249.99
99241,"Pyle ","Pyle - PTC23LD 22"" TV/DVD Combo - HDTV - 16:9 - 1366 x 768 - 720p",249.99
99242,"Pyle ","Pyle - PTC22LC 22"" 720p LCD TV - 16:9",
99243,"Orion ","Orion - Accu SLED2228 22"" 1080p LED-LCD TV - 16:9 - HDTV 1080p - Black",
